"filename", "language", "JSON", "PHP", "JavaScript", "HTML", "CSS", "Markdown", "C#", "XML", "Shell Script", "comment", "blank", "total"
"c:\Users\Tochi\Documents\webtoolsClone\webtools\.idea\.idea.webtools.dir\.idea\indexLayout.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Tochi\Documents\webtoolsClone\webtools\.idea\.idea.webtools.dir\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Tochi\Documents\webtoolsClone\webtools\@tochi\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Tochi\Documents\webtoolsClone\webtools\@tochi\script.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Tochi\Documents\webtoolsClone\webtools\@tochi\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tochi\Documents\webtoolsClone\webtools\GLTFLoader.js", "JavaScript", 0, 0, 2330, 0, 0, 0, 0, 0, 0, 348, 1757, 4435
"c:\Users\Tochi\Documents\webtoolsClone\webtools\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Tochi\Documents\webtoolsClone\webtools\about.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Tochi\Documents\webtoolsClone\webtools\api\create\index.php", "PHP", 0, 146, 0, 0, 0, 0, 0, 0, 0, 27, 21, 194
"c:\Users\Tochi\Documents\webtoolsClone\webtools\api\delete\index.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Tochi\Documents\webtoolsClone\webtools\api\get_projects\index.php", "PHP", 0, 117, 0, 0, 0, 0, 0, 0, 0, 35, 16, 168
"c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\dev_search_engine\index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\docs\index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tochi\Documents\webtoolsClone\webtools\api\private\drop_file_js\index.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 10, 73
