Date : 2023-05-09 20:50:23
Directory : c:\Users\Tochi\Documents\webtoolsClone\webtools
Total : 688 files,  116311 codes, 9009 comments, 17588 blanks, all 142908 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |        314 |     72,181 |      7,448 |      9,858 |     89,487 |
| HTML         |        187 |     23,756 |         10 |      4,175 |     27,941 |
| PHP          |         87 |     13,457 |      1,074 |      1,878 |     16,409 |
| CSS          |         82 |      3,484 |        471 |        701 |      4,656 |
| JSON         |          8 |      1,980 |          0 |          5 |      1,985 |
| Markdown     |          4 |      1,394 |          0 |        963 |      2,357 |
| XML          |          4 |         34 |          0 |          1 |         35 |
| C#           |          1 |         20 |          5 |          6 |         31 |
| Shell Script |          1 |          5 |          1 |          1 |          7 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        688 |    116,311 |      9,009 |     17,588 |    142,908 |
| . (Files)                                                                                             |         43 |     17,006 |        669 |      2,987 |     20,662 |
| .idea                                                                                                 |          2 |         14 |          0 |          0 |         14 |
| .idea\.idea.webtools.dir                                                                              |          2 |         14 |          0 |          0 |         14 |
| .idea\.idea.webtools.dir\.idea                                                                        |          2 |         14 |          0 |          0 |         14 |
| @tochi                                                                                                |          3 |         16 |          0 |          1 |         17 |
| api                                                                                                   |         24 |      1,179 |        513 |        207 |      1,899 |
| api (Files)                                                                                           |          1 |         38 |         16 |         15 |         69 |
| api\create                                                                                            |          1 |        146 |         27 |         21 |        194 |
| api\delete                                                                                            |          1 |          3 |          0 |          2 |          5 |
| api\get_projects                                                                                      |          1 |        117 |         35 |         16 |        168 |
| api\private                                                                                           |         19 |        663 |        405 |        135 |      1,203 |
| api\private (Files)                                                                                   |          5 |         79 |         28 |         28 |        135 |
| api\private\dev_search_engine                                                                         |          1 |          0 |          0 |          1 |          1 |
| api\private\docs                                                                                      |          1 |          0 |          0 |          1 |          1 |
| api\private\drop_file_js                                                                              |          1 |         63 |          0 |         10 |         73 |
| api\private\edit_manifest_js                                                                          |          1 |         78 |          1 |         12 |         91 |
| api\private\edit_project_status                                                                       |          1 |        104 |          6 |          9 |        119 |
| api\private\edit_test_suite_js                                                                        |          1 |         22 |          1 |          4 |         27 |
| api\private\edit_user_info                                                                            |          1 |         73 |          7 |         18 |         98 |
| api\private\get_item_contents                                                                         |          1 |         45 |          2 |         12 |         59 |
| api\private\get_project_status                                                                        |          1 |         60 |          6 |         11 |         77 |
| api\private\get_user_info                                                                             |          1 |         24 |          0 |          3 |         27 |
| api\private\module_handle_js                                                                          |          1 |         36 |          9 |          7 |         52 |
| api\private\save_project_js                                                                           |          1 |         47 |        341 |         13 |        401 |
